,description,work
800,"Die alten Filme. Edited and translated by Carl Weissner.  A. 1st German ed. Augsburg: Maro Verlag, 1979, ©1976. Softbound.  Includes translations of various other texts, including 1) written in 1964 and previously unpublished; and 2) others originally published in Arcade, Transatlantic Review, Spero, Adventures in Poetry, Antaeus, Insect Trust Gazette, , and Intrepid. [See Section C above.] b. Unabridged ed. (Fischer Taschenbuch; 5748) Frankfurt: Fischer Taschenbuch Verlag, 1983, ©1979. Softbound.  Jacket: Die alten Filme: Stories. Greek",D21
801,"Cobblestone Gardens. Athens: Apopeira, 1983.  Dead Star. French",D22
802,"In Révolution Électronique suivi de Time et de Étoile Morte. [Paris]: Editions Champ Libre, 1974. Softbound.  Translation by Jean Chopin.  Electronic Revolution 197071. Dutch",D23
803,Electronische Revolutie. Introduction by John Balance. The Hague: Stichting Maldoror. Softbound.  Translation by Anthony Blokdijk.  Limited to 500 copies. French,D24
804,"In Révolution Électronique suivi de Time et de Étoile Morte. [Paris]: Editions Champ Libre, 1974. Softbound.  Translation by Jean Chopin.  [See also Section A above.] German  [See Section A above.] Italian",D25
805,"In È Arrivato Ah Pook; Il Libro della Respirazione; La Rivoluzione Elettronica.  (Tasco; 31) Milan: SugarCo Edizioni, 1980. Softbound.  Translation by Giulio Saponaro.  Exterminator! French",D26
806,"Exterminateur! Introduction by [Barry] Miles. Paris: Christian Bourgois Éditeur, 1974. Softbound.  Translation by Mary Beach and Claude Pélieu-Washburn. German",D27
807,"In William S. Burroughs. Vol. 4. Edited and translated by Carl Weissner. 1st ed. Frankfurt: Zweitausendeins, 1987. Hardbound without dustjacket in labeled slipcase, and softbound.   95  Italian",D28
808,"Sterminatore! et Altri Testi. (I Giorni; 28) Milan: Sugar Editore, 1969. Hardbound in dustjacket.  Translation by Giulio Saponaro of Exterminator! and various other texts.",D29
809,"Johnny 23. (I Giorni; 55) Milan: SugarCo Edizioni, 1975, ©1973. Softbound.  Translation by Maria Gallone and Giulio Saponaro. Japanese",D30
810,"Exterminator!  Tokyo: Peyotoru Koubou, 1993. Softbound in dustjacket with wraparound band.  Translation by Hisashi Asakura, Hiroo Yamagata, Kiichirou Yanagishita, and Sachie Watanabe. Spanish",D31
811,"Exterminador. 1st ed. (Azanca: Narrativa Contemporanéa; 13) Madrid: Ediciones Júcar, 1976. Softbound.  Translation by Martín Léndinez.  The Four Horsemen of the Apocalypse. German  [See Section A above.]  Ghost of Chance. Czech",D32
812,"Ohyzdny Duch. Czech Republic: Votobia, 1995. Hardbound in dustjacket.  Interzone. French",D33
813,"Interzone. Preface by Gérard-Georges Lemaire; Introduction by James Grauerholz. (Les Derniers Mots) Paris: Christian Bourgois Éditeur, 1991. Softbound.  Translation by Sylvie Durastanti.  The Job. French",D34
814,"Le Job: Entretiens avec Daniel Odier. Ed. augmented and entirely revPhilippe Mikriammos. Paris: P. Belfond, 1979. German",D35
815,"Der Job. Cologne: Verlag Kiepenheuer & Witsch, 1973. Softbound.  Translation  Spanish",D36
816,"El Trabajo: Conversaciones con Daniel Odier. (Colección Maldoror; 11) Barcelona: Editorial Mateu, 1972, ©1971. Softbound. {M&M D46}  Translation by Antonio Desmonts.   Junkie. Croatian",D37
817,"Junky. Zagreb: Celeber, 2002.  Danish",D38
818,"In Junkie; Yage Brevene. (Farlige Bøger) Copenhagen: Stig Vandelkærs Forlag, 1966. Softbound.  Translation of Junkie by Harry Mortensen; translation of The Yage Letters by Mogen Toft.   96  Dutch",D39
819,"Junkie. (Meulenhoffreeks; mr 14) Amsterdam: Meulenhoff, 1970. Softbound.  Translation by Riekus Waskowsky.  the facsimile page from the St. Louis Journaloriginally appeared in Paris Review  French",D40
820,"Junkie. Paris: Éditions Pierre Belfond, 1972. Softbound. {M&M D16}  Translation by Catherine Cullaz and Jean-René Major.",D41
821,"Le Camé. Unexpurgated ed., eMikriammos. Introduction by Allen Ginsberg. (Littératures Étrangères) Paris: Pierre Belfond, 1979. Softbound.  Translation by Catherine Cullaz and Jean-René Major. German",D42
822,"Junkie: Bekenntnisse eines unbekehrten Rauschgiftsüchtigen. Wiesbaden: Limes Verlag, 1963.  Hardbound [in dustjacket?].  Translation by Katharina Behrens.  Junkie",D43
823,"In William S. Burroughs. Vol. 1. Edited and translated by Carl Weissner. 1st ed. Frankfurt: Zweitausendeins, 1978. Hardbound without dustjacket in labeled slipcase, and softbound. Hungarian",D44
824,"A Narkos.  A. Budapest: Lord Könyvkiadó, 1995. Softbound.  Translation by Tornai Szabolcs. B. Budapest: Cartaphilus Kiadó, 2001. Hardbound in dustjacket.  Italian",D45
825,"La Scimmia Sulla Schiena.  A. Introduction by Fernanda Pivano. Milan: Rizzoli Editore, 1962. Hardbound in glassine dustjacket.   Translation by Bruno Oddera.     Jacket  appearance under the   Includes double-sided bookmark bearing a photograph and brief biography of Burroughs, and a blurb about the book.  Una cura che elimina la tossicomaniawritten by Burroughs in Cambridge in January 1961 and circulated in typescript and photocopy though later versions were published subsequently .. B. Introduction by Fernanda Pivano. (BUR; L80) Milan: Biblioteca Universale Rizzoli, 1976. Softbound.  Translation by Bruno Oddera.   Japanese",D46
826,"Junnkie [sic, i.e. Junkie]. (Fantastique) Tokyo: Shichosha Publishers, 1967. Softbound in dustjacket with wraparound band.  Translation [by Ayukawa Nobuo?]",D47
827,"Jiyanki. Tokyo: Kawade Shobo Shinsha, 2003. Softbound in dustjacket.   Polish",D48
828,". Warsaw: Amber, 1994.  Translation by Andrzej Ziembicki.  97  Spanish",D49
829,"A. (Azanca: Narrative Contemporanea; 16) Madrid: Ediciones Júcar, 1976. Softbound.  Translation by Martín Léndinez. B. (Libro Amigo) Barcelona: Editorial Bruguera, 1980. Softbound. Swedish",D50
830,"Tjacket. Stockholm: AWE/Gebers, 1987. Softbound.  Translation by Einar Heckscher.  The Last Words of Dutch Schultz. Dutch",D51
831,"De Laatste Woorden van Dutch Schultz. Amsterdam: Boelen Uitgevers, 1976. Softbound.    Translation by J.A. Deelder. French",D52
832,"Les Derniers Mots de Dutch Schultz. (1018; 921) Paris: Christian Bourgois Éditeur, 1972. Softbound.  Translation by Mary Beach and Claude Pélieu. German",D53
833,"Die letzten Worte von Dutch Schultz.  A. Köln: Kiepenheuer & Witsch, 1971. Softbound.  Translation by Carl Weissner. B. (Ullstein Buch; Nr. 3116). Frankfurt: Ullstein, 1975. Softbound.   Translation by Hans Herman.",D54
834,"In William S. Burroughs. Vol. 4. Edited and translated by Carl Weissner. 1st ed. Frankfurt: Zweitausendeins, 1987. Hardbound without dustjacket in labeled slipcase, and softbound. Italian",D55
835,"Le Ultime Parole di Dutch Schultz. (I Giorni; 39) Milan: Sugar Editore, 1971, ©1970. Softbound.  Translation by Giulio Saponaro. Japanese",D56
836,"The Last Words of Dutch Schultz. Tokyo: Hakusuishya, 1992.Softbound in dustjacket with wraparound band.  Translation by Hiroo Yamagata.  Spanish",D57
837,"Las Ultimas Palabras de Dutch Schultz.  A. (Azanca; 2) Valencia: Las Ediciones de los Papeles de Son Armadans, 1971, ©1970. Softbound.  Translation by J. M. Álvarez Flórez. B. 2nd ed. (Azanca: Narrativa Contemporánea; 2) Madrid: Ediciones Júcar, 1978. Softbound.  Translation by J. M. Álvarez Flórez. C. (Biblioteca Júcar; #91) Madrid: Ediciones Júcar, 1986. Softbound.   Letters to Allen Ginsberg, 19531957. French  [See Section G below.]   98  German",D58
838,"In William S. Burroughs. Vol. 5. Edited and translated by Carl Weissner. 1st ed. Frankfurt: Zweitausendeins, [1989]. Hardbound without dustjacket in labeled, illustrated slipcase, and softbound.  Minutes To Go. French",D59
839,"In Le Métro Blanc. (Fiction & Cie) Paris: Bourgois/Seuil, 1976. Softbound.  Translation by Mary Beach and Claude Pélieu-Washburn of White Subway, Minutes To Go, and various other texts.  My Education.  Japanese",D60
840,"Waga Kyouiku. [N.p., 1998.] Hardbound in dustjacket.  Naked Lunch. Czech",D61
841,"Nahy Obed. Prague: Mata, 2003. Hardbound, issued without dustjacket.  Translation by Josef Rauvolf, illustrated by Miroslav Bodansky.  Danish",D62
842,"Nøgen Frokost.  A. Copenhagen: Gyldendal, 1967. Softbound in dustjacket. {M&M D2}  Translation by Finn Holten Hansen. B. 2nd ed. Copenhagen: Gyldendals Paperbacks, 1984. Softbound.  Translation by Finn Holten Hansen. Dutch",D63
843,"Naakte Lunch.  A. (Meulenhoff Editie; E245) Amsterdam: Meulenhoff, 1972. Softbound. {M&M D5}   B. (Grote ABC; Nr. 334) Amsterdam: Uitgeverij De Arbeiderspers, 1979. Softbound.  Translation  Finnish",D64
844,"Alaston Lounas. Jyväskylä, Finland: K.J. Gummerus, 1971. Hardbound in dustjacket, and softbound. {M&M D8}  Translation by Risto Lehmusoksa. French",D65
845,"Le Festin Nu.  A. Paris: Gallimard, 1964. Softbound (no hardbound issued).  Translation by Eric Kahane.  [1st printing?] includes 3,750 numbered copies.  Three printings. B. (L  Translation by Eric Kahane. German",D66
846,"The Naked Lunch. A. Wiesbaden: Limes, 1962. B. 2nd ed. Wiesbaden: Limes, 1966.    99  C. 4th enl. ed. Wiesbaden: Limes, 1969. Hardbound in dustjacket.  Translation by Katharina and Peter Behrens.  Limited to 2,000 copies.",D67
847,"In William S. Burroughs. Vol. 1. Edited and translated by Carl Weissner. 1st ed. Frankfurt: Zweitausendeins, 1978. Hardbound without dustjacket in labeled slipcase, and softbound.",D68
848,"Naked Lunch. New York: Acid Books, [n.d.] Softbound (no hardbound issued). Hebrew",D69
849,"Tel Aviv: Shdorian, 2001.   Translation by Ehud Tagari.  Hungarian",D70
850,"Meztelen Ebéd.  A. Budapest: Holnap Kiadó, 1992. Softbound.  Translation by Elmi József. B. Budapest: Cartaphilus, 2010. Hardbound in dustjacket.  Translation by József Szili.  Italian",D71
851,"Il Pasto Nudo.  A. Milan: Sugar Editore, 1964. Hardbound, issued without dustjacket.   Translation by Claudio Gorlier and Donatella Manganotti. B. (I Giorni; 30) Milan: Sugar Editore, 1970. Hardbound in dustjacket. C. Preface by Fernanda Pivano. Milan: SugarCo Edizioni, 1992.  Translation by Claudio Gorlier, Donatella Manganotti, and Giulio Saponaro. Japanese",D72
852,"Hadaka No Ranchi. (Ningen no bungaku; 19) Tokyo: Kawadeshoboshinsha, 1965. Hardbound, with wraparound band, in printed plastic sleeve. {M&M D39}  Translation by Ayukawa Nobuo.",D73
853,"Hadaka No Ranchi. Tokyo: Kawadeshoboshinsha, 1995. Hardbound in dustjacket, with wraparound band.  Translation by Ayukawa Nobuo. Norwegian",D74
854,"Naken Luns: Roman. Oslo: Forfatterforlaget, 1983. Softbound.  Translation by Olav Angell.  , from The Paris Review, Vol. 9 No. 35 (Fall 1965) [see Section C above] included at end.  Polish",D75
855,Nagi Lunch Softbound.  Translation by Edward Arden. Portuguese,D76
856,"Refeição Nua©1959. Softbound.  Translation by Maria Emília Ferros Moura.  Jacket title: Alucinaçöes de um Drogado.  Translation of ,The British Journal of Addiction, Vol. 53 No. 2 (January 1957) [see Section C above], included in Appendix at end.  Serbian",D77
857,"Go. (Biblioteka Erotikon; 31) Belgrade: Prosveta, 1986. Softbound.   Translation by Dragana Masovic. Slovenian",D78
858,"Goli Obed. Slovenia: Stoletje, 1993. Hardbound in dustjacket.  100  Spanish",D79
859,"Almuerzo Desnudo. Buenos Aires: Ediciones Siglo Veinte, 1971. Softbound.  Translation by Aníbal Leal.",D80
860,"El Almuerzo Desnudo.  A. 1st ed. (Azanca: Narrativa Contemporanea; 17) Madrid: Ediciones Júcar, 1978.   Softbound.  Translation by Martín Léndinez. B. 1st ed. (Club Bruguera; 22) Barcelona: Editorial Bruguera, 1980. Hardbound, issued without dustjacket.  Translation by Martín Lendínez.  C. 2nd ed. (Club Bruguera; 22) Barcelona: Editorial Bruguera, 1982, ©1980. Hardbound, issued without dustjacket.  Translation by Martín Lendínez.  Swedish",D81
861,"Den Nakna Lunchen.  A. Östervåla: Bo Cavefors Bokförlag, 1978. Softbound.  Translation by Peter Stewart. B. (MM: Modehrna Mästare) Stockholm: AWE/Gebers, 1991. Hardbound in dustjacket.  Translation by Peter Stewart.  Nova Express. Danish",D82
862,"Nova-Ekspres. (Farlige Bøger) Copenhagen: Stig Vendelkærs Forlag, 1967, ©1964. Softbound.  Translation by Erik Wiedemann. Dutch",D83
863,"Nova Expres. Bussum, Netherlands: Uitgeverij Agathon, 1975. Softbound.  Translation by Annelies Jorna. French",D84
864,"Nova Express.  A. ParisHerne, 1967. B. (Édition 10/18; 662) Paris: Christian Bourgois, 1970. Softbound.  Translation   Reprinted 1972. German",D85
865,"Nova Express.  A. Wiesbaden: Limes, 1970. Hardbound in dustjacket.  Translation by Peter Behrens. B. (Ullstein Buch; Nr. 2960) Frankfurt: Ullstein, 1973, ©1970. Softbound.  Translation by Peter Behrens.",D86
866,"In William S. Burroughs. Vol. 1. Edited and translated by Carl Weissner. 1st ed. Frankfurt: Zweitausendeins, 1978. Hardbound without dustjacket in labeled slipcase, and softbound. Italian",D87
867,"Nova Express: Romanzo. (I Giorni; 21) Milan: Sugar Editore, 1967. Hardbound in dustjacket.  Translation by Donatella Manganotti.  101  Japanese",D88
868,"Nova Kyuho. (Sanrio SF Bunko; 4-A) Tokyo: Sanrio, Kabushiki Kaisha, 1978. Softbound in dustjacket, with wraparound band.  Translation by Yu Suwa. Spanish",D89
869,"Expreso Nova. (Coleccion Metamorfosis) Buenos Aires: Ediciones Minotauro, 1972. Softbound.  Translation by Enrique Pezzoni.",D90
870,"Nova Express.  A. (Azanca; 5 [i.e., 6]) Madrid: Las Ediciones de los Papeles de Son Armadans, 1973. Softbound with wraparound band.  Translation by Martín Léndinez.  B. 1st ed. (Libro Amigo) Barcelona: Bruguera, 1980. Softbound.  Translation by Martín Léndinez. Swedish",D91
871,"Nova Express. Stockholm: Bonniers, 1968, ©1964. Softbound.  Translation by Torsten Ekbom.  The Place of Dead Roads. French",D92
872,"Parages des Voies Mortes. Paris: Christian Bourgois Éditeur, 1987.  Translation by Sylvie Durastanti. German",D93
873,"Dead Roads: Roman. 1st ed. (New Age: Modelle für Morgen; 14013) Munich: Goldmann Verlag, 1985. Softbound.  Translation by Rose Aichele. Italian",D94
874,"Strade Morte. Milan: SugarCo Edizioni, 1984, ©1983. Hardbound in dustjacket.  Translation by Giulio Saponaro. Japanese",D95
875,"The Place of Dead Roads. Tokyo: Hakusuishya, 1990. Softbound in dustjacket with wraparound band.  Translation by Iida Takaaki.   Port of Saints. French",D96
876,"Havre des Saints. (Connections) Paris: Flammarion, 1977. Softbound with  wraparound band.  Translation by Philippe Mikriammos. German",D97
877,"In William S. Burroughs. Vol. 2. Edited and translated by Carl Weissner. 1st ed. Frankfurt: Zweitausendeins, 1980. Hardbound without dustjacket in labeled slipcase, and softbound.",D98
878,"In William S. Burroughs. Vol. 2/3. Edited and translated by Carl Weissner. 1st ed. Frankfurt: Zweitausendeins, 1985. Softbound. Italian",D99
879,"Porto dei Santi: Romanzo. (Tasco; 44) Milan: SugarCo Edizioni, 1981. Softbound.  Translation by Giulio Saponaro.  102  Queer. Czech",D100
880,"Teplous; Dopisy o Yage. Vyd: X-Egem, 1991. Softbound.  Translation by Josef Rauvolf.",D101
881,"Teplous. Prague: Mata, 2004. Hardbound, issued without dustjacket.  Translation by Josef Rauvolf; illustrated by Andrej Sujetov Kostic. French",D102
882,"Queer. Paris: Christian Bourgois Éditeur, 1986. German",D103
883,"In William S. Burroughs. Vol. 5. Edited and translated by Carl Weissner. 1st ed. Frankfurt: Zweitausendeins, 1989. Hardbound without dustjacket in labeled, illustrated slipcase, and softbound. Polish",D104
884,". Gdansk: Phantom Press International, 1993. Softbound.   Translation by Pawel Lipszyc. Swedish",D105
885,"Svängd. Stockholm: AWE/Gebers, 1988, ©1985. Softbound.  Translation by Einar Hecksher.  The Retreat Diaries. French",D106
886,"In Ah Pook Est La et Autres Contes. Paris: Christian Bourgois Éditeur, 1979. Softbound.  Translation by Philippe Mikriammos and Gérard-Georges Lemaire.  Includes Ah Pook Is Here, The Retreat Diaries, and Cobble Stone Gardens.",D107
887,"Les Journaux de Retraite. Paris: Christian Bourgois Éditeur, 1980. German",D108
888,"Zwischen Mitternacht und Morgen: ein Traumtagebuch mit dem Traum von Tibet von Allen Ginsberg. (Sphinx Pocket; 5). Basel: Sphinx Verlag, 1980. Softbound.  Translation by Udo Breger.  Roosevelt After Inauguration. Dutch",D109
889,"Roosevelt na de Ambtsinwijding. Rotterdam: Cold Turkey, 1972.  Translation by Jan Oudenaarde of Roosevelt After Inauguration and other texts.  Limited to 250 numbered copies.  Snack. Spanish",D110
890,"Snack ... (Pre-Textos; 20) Valencia: Pre-Textos, 1978. Softbound.  Translation by Pedro García Montalvo.   So Who Owns Death TV? French",D111
891,"Alors a qui Appartient la Mort Télévisée? With Claude Pélieu and Carl Weissner.  La Souterraine, France: La Main Courante, 1997. Softbound.  Translation by Mary Beach-Pélieu.      103  German",D112
892,"Fernseh-Tuberkulose. With Claude Pélieu and Carl Weissner. Frankfurt: Nova Press, 1969. Softbound.  Translation by Carl Weissner.  Contains Burroughs letter not [previously] published elsewhere. [Am Here 3]  Greek",D113
893,"Se poion anekei loipon e thanatephoros TV? With Claude Pélieu and Carl Weissner. (logotechnia; 7) Athens: Eleytheros Typos, 1983. Softbound.  Translation by Demetres Arvanites.  The Soft Machine. Dutch",D114
894,"De Zachte Machine. Bussum: Uitgeverij Agathon, 1974. Softbound.  Translation by Annelies Jorna. French",D115
895,"La Machine Molle. (1018; 545) Paris: Christian Bourgois Éditeur, 1968. Softbound (no hardbound issued). {M&M D12}  Translated by Mary Beach; adapte  Includes 15 numbered copies on Alfa Mousse paper issued in glassine wrapper. German",D116
896,"Soft Machine.  A. Cologne: Verlag Kiepenheuer & Witsch, 1971. Softbound.   Translation by Peter Behrens of the third version of The Soft Machine.  B. (Ullstein Buch; Nr. 3018) Frankfurt: Ullstein, 1974, ©1971. Softbound.   Translation by Peter Behrens of the third version of The Soft Machine.  Italian",D117
897,"La Morbida Macchina. Introduction by Giansiro Ferrata. (I Giorni; 13) Milan: Sugar Editore, 1965. Hardbound in dustjacket. {M&M D32}  Translation by Donatella Manganotti.",D118
898,"La Morbida macchina. (Tasco; 10) Milan: SugarCo Edizioni, 1978. Softbound.  Translation by Donatella Manganotti.",D119
899,"In I Ragazzi Selvaggi; La Morbida Macchina. Milan: Club Italiano dei Lettori, 1981. Hardbound, issued without dustjacket.  Translation by Donatella Manganotti. Japanese",D120
900,"Sofuto Mashin. Tokyo: Kawade Shobo Shinsha, 2004. Softbound in dustjacket.  Translation by Hiroo Yamagata and Kiichiro Yamashita.    Spanish",D121
901,"La Máquina Blanda. 1st ed. Barcelona: Minotauro, 1995, ©1966. Hardbound in dustjacket.  Translation by Marcelo Cohen.  The Ticket That Exploded. French",D122
902,"Le Ticket qui Explosa: Roman = The Ticket That Exploded.  A. Ed. originale. Paris: Christian Bourgois Éditeur, 1969. Softbound. {M&M D13}    Includes 20 numbered copies on Alfa Mousse paper issued in glassine wrapper, and 5 hors commerce copies numbered H.C. 15.   104  B. (1018; 700) Paris: Christian Bourgois Éditeur, 1972, ©1969. Softbound.  Ted Italian",D123
903,"Il Biglietto che è Esploso. (I Giorni; 31) Milan: Sugar Editore, 1970. Hardbound in dustjacket. {M&M D36}  Translation by Giulio Saponaro. Japanese",D124
904,"Bakuhatsu Shita Kippu. (Sanrio SF Bunko; 4-B) Tokyo: Sanrio, Kabushiki Kaisha, 1979. Softbound in dustjacket, with wraparound band.  Translation by Takaki Iida.  Time. French",D125
905,"In Révolution Électronique suivi de Time et de Étoile Morte. [Paris]: Éditions Champ Libre, 1974. Softbound.  Translation by Jean Chopin.  Tornado Alley Japanese",D126
906,"Toruneido Arei. Tokyo: Shichosha, 1992. Softbound in dustjacket, with wraparound band.  Translation by Shimizu Arika.  The Western Lands. Czech",D127
907,"Západní Zeme. Prague: Mata, 2004. Hardbound, issued without dustjacket.  Translation by Josef Rauvolf.  Dutch",D128
908,"Het Land in Het Westen. Utrecht: Veen, 1990. Softbound.  Translation by Maarten Polman. French",D129
909,"Les Terres Occidentales. (Les Derniers Mots) Paris: Christian Bourgois Éditeur, 1990. Softbound.  Translation by Sylvie Durastanti. German",D130
910,"Western Lands. Wiesbaden: Frankfurt: Limes Verlag, 1988, ©1987. Hardbound in dustjacket.  Translation and afterword by Carl Weissner.   White Subway. French",D131
911,"In Le Métro Blanc. (Fiction & Cie) Paris: Bourgois/Seuil, 1976. Softbound.  Translation by Mary Beach and Claude Pélieu-Washburn of White Subway, Minutes To Go, and various other texts. Spanish",D132
912,"El Metro Blanco. (Pre-Textos; 8) Valencia: Pre-Textos, 1977. Softbound.  Translation by Francisco Sanz. With other contributions by Burroughs, Alan Ansen, and Paul Bowles.     105  The Wild Boys: A Book of the Dead. Dutch",D133
913,"Wilde Jongens: Een Doden Boek. Bussum: Uitgeverij Agathon, 1973. Finnish",D134
914,"Hurjat Pojat: Kuolleiden Kirja. Helsinki: Kustannus oy Odessa, 1983. Softbound.  Translation by Kari Lempinen. French",D135
915,"Les Garçons Sauvages: Un Livre de Morts. (1018; 1142) Paris: Christian Bourgois Éditeur, 1973. Softbound.  Translation by Mary Beach; aude Pélieu. German",D136
916,"In William S. Burroughs. Vol. 2. Edited and translated by Carl Weissner. 1st ed. Frankfurt: Zweitausendeins, 1980. Hardbound without dustjacket in labeled slipcase, and softbound.",D137
917,"In William S. Burroughs. Vol. 2/3. Edited and translated by Carl Weissner. 1st ed. Frankfurt: Zweitausendeins, 1985. Softbound. Italian",D138
918,"Ragazzi Selvaggi. (I Giorni; 44) Milan: Sugar Editore, 1973. Softbound.  Translation by Giulio Saponaro.",D139
919,"In I Ragazzi Selvaggi; La Morbida Macchina. Milan: Club Italiano dei Lettori, 1981. Hardbound, issued without dustjacket.  Translation by Giulio Saponaro.  The Yage Letters. Czech",D140
920,"In Teplous; Dopisy o Yage. Vyd: X-Egem, 1991. Softbound.  Translation by Josef Rauvolf. Danish",D141
921,"In Junkie; Yage Brevene. (Farlige Bøger) Copenhagen: Stig Vandelkærs Forlag, 1966. Softbound.  Translation by Mogens Toft. French",D142
922,"Les Lettres du Yage. (Les Livres Noirs) Paris: LHerne, 1967. Softbound.   German",D143
923,"Auf der Suche nach Yage. Wiesbaden: Limes Verlag, 1964. Hardbound with dustjacket.  Translation by Katharina and Peter Behrens of In Search of Yage, the earlier title of The Yage Letters.  Jacket: Auf der Suche nach Yage: Ein Briefwechsel.",D144
924,"In William S. Burroughs. Vol. 1. Edited and translated by Carl Weissner. 1st ed. Frankfurt: Zweitausendeins, 1978. Hardbound without dustjacket in labeled slipcase, and softbound.  Translation of In Search of Yage, the earlier title of The Yage Letters. Italian",D145
925,"Le Lettere dello Yage. Milan: Sugar, 1967. Japanese",D146
926,"Mayaku Shokan. Tokyo: Shichosha, 1966.    106  Portuguese",D147
927,"Cartas del Yage. (Pasado y Presente Literatura) Buenos Aires: Ediciones Signos, 1971. Softbound.  Translation by M. Lasserre. Spanish",D148
928,"Cartas del Yage. (Star-Book; 15) Barcelona: Producciones Editoriales, 1977. Softbound.",D149
929,"Cartas del Yage: Correspondencia Sobre Experiencias con Plantas Psicoactivas Sudamericanas. 1st ed. El Rosario: Editorial Hombre que Lee, 2000. Softbound.  Translation and notes by Martín Pérez Noriega. Swedish",D150
930,"Yagebreven. Lund: Bakhåll, 1988. Softbound.  Translation by Peter Stewart.     107  E.  SOUND RECORDINGS",D151
