description,work
"The Floating Bear, No. 24 (1962). {M&M C47C49}",C40
"Nul, No. 5 (2 January 1962). {M&M C40}  sic",C41
"Nul, No. 6 (1962). {M&M C41}",C42
"The Outsider, Vol. 1, No. 2 (Summer 1962). {M&M C46}",C43
"Rhinozeros, No. 6 (1962). {M&M C43}  sic; i.e. Nova  An excerpt from Nova Express.",C44
"Rhinozeros, No. 7 (1962). {M&M C45}  cheerful sir, our revels touching circumstanceSpanish i .../",C45
"The Second Coming Magazine, Vol. 1, No. 3 (March 1962). {M&M C42}  The Novia [sic; i.e. Nova] Express",C46
"The Transatlantic Review, No. 11 (Winter 1962). {M&M C51}           34",C47
"Yugen, No. 8 (1962). {M&M C50}  Final issue.  -  1 9 6 3",C48
"Akzente, No. 3 (June 1963). {M&M C62}    German translation by Katharina and Peter Behrens.",C49
"Birmingham Bulletin, No. 2 (Autumn 1963). {M&M C63}",C50
"City Lights Journal, No. 1 (1963). {M&M C66}  -    An excerpt from The Yage Letters.",C51
"Cleft, Vol. 1, No. 1 (June 1963). {M&M C60}",C52
"Evergreen Review, Vol. 7, No. 29 (MarchApril 1963). {M&M C53}  Nova Express",C53
"Film: Quarterly Magazine of the [British] Federation of Film Societies, No. 37 (Autumn 1963).  {M&M C65}",C54
Gambit: The New University Review (Spring 1963). {M&M C58},C55
"The Harvard Advocate, Vol. 97, No. 3 (Spring 1963). {M&M C59}   cover 1  m? Don",C56
"My Own Mag, [No. 2 (December 1963)]. {M&M C93}  cover-  Limited to 50 copies. Printed on recto only.",C57
"Olympia, No. 4 (April 1963). {M&M C54}  The Ticket That Exploded  TOC title   ... a continuous excerpt from his latest novel, The Ticket That Exploded ... p. 10.   35",C58
"The Outsider, Vol. 1, No. 3 (Spring 1963). {M&M C57}  Also includes a review of Naked Lunch by Alex Neish (editor of Sidewalk).  o Cut City  TOC title   Sidewalk [Vol. 1, No. 2 (1960?)] p. 135. [See above.]",C59
"Randstad, No. 4 (January 1963). {M&M C52}  Vinkenoog.  Rand van de S   Dutch translation by Cornelis Bastiaan Vaandrager and Simon Vinkenoog.  An excerpt from Nova Express.",C60
"The Transatlantic Review, No. 14 (Autumn 1963). {M&M C64}  I",C61
"Il Verri, No. 8 (June 1963). {M&M C61}  a   Italian translation , with a note by V. Riva.",C62
"The Yale Literary Magazine, Vol. 131, Nos. 3 & 4 (April 1963). {M&M C55}    1 9 6 4",C63
"Ambit, No. 20 (1964). {M&M C92}    A three-column layout.",C64
"Arcade, No. 1 (1964). {M&M C84-86}  Label on cover  1st state has red 2s./6p. price label [BeatBooks 36]; 2nd state was 3s [PBA 198].  .  on.",C65
"Art and Literature, [No.] 2 (Summer 1964). {M&M C82}    Book of Methods in collaboration with Brion Gysin. The text we present here is part of this work in progress, tp. 227. Actually, it was published first in France (1976) as:  and subsequently in the U.S. (1978) as: The Third Mind. [See Section A, above.]",C66
"The Burrough, [No. 1 (1964)]. {M&M C95}  A magazine edited by Burroughs, appearing as the last two pages of My Own Mag, [No. 6 (1964)], below.      36",C67
"The Burrough, [No. 2 (1964)]. {M&M C99}  A magazine edited by Burroughs, appearing as the last two pages of My Own Mag, [No. 8 (August 1964)], below.   ...",C68
"C: A Journal of Poetry, Vol. 1, No. 9 (Summer 1964). {M&M C75-76}",C69
"Chicago Review, Vol. 17, No. 1, [Whole No.] 54 (1964). {M&M C91}    Three-column layout.  newspaper and magazine format to p. 130.",C70
"Cleft, Vol. 1, No. 2 (May 1964). {M&M C74}",C71
"Esquire, Vol. 62, No. 3, Whole No. 370 (September 1964). {M&M C83}  -Optical, Cartographical, & Literary Footnotes to a Survey of the American Socio-  TOC title  Text and captions by Burroughs. Photographs by Robert Fréson.",C72
"España, No. 8752 (4 September 1964). {M&M E2}  ...Burroughs interviewed by staff reporter.]",C73
"Evergreen Review, Vol. 8, No. 32 (AprilMay 1964). {M&M C73}",C74
"Evergreen Review, Vol. 8, No. 34 (December 1964). {M&M C89}  -Expan  p. 72.",C75
"Ex, No. 3 (1964). {M&M C96}    Run-[from The Burrough, [No. 1 (1964)], above], issued in a folder with a variety of other loose and stapled items. [M&M]",C76
"Fuck You/A Magazine of the Arts, No. 5, Vol. 7 [sic] (September 1964). {M&M C80}  sic] You Fluck [sic] You Fluck [sic  Three-column layout.   37",C77
"Gnaoua. No. 1 (Spring 1964). {M&M C6871}  See also Pry Yourself Loose and L (Section A, above).",C78
"The Insect Trust Gazette, No. 1 (Summer 1964). {M&M C7879}       the writing p. 27.    Facsimile of grid-layout manuscript.",C79
"Mother, No. 3 (November/December 1964). {M&M C88}    Three-color facsimile of three-column-layout manuscript, accompanied by covering note.",C80
"The Moving Times, [No. 1 (1964)]. {M&M C100 and C232}       A. A magazine edited by Burroughs, appearing as pages [3] and [4] of My Own Mag,  [No. 5 (May 1964)], below.  The Moving Times [No. 1 (1964)] is reprinted here, for the first time in the United States, by courtesy of the author and by courtesy of Jeff Nuttall, who first published it in England in My Own Mag  [No. 5 (May 1964)] B. A magazine edited by Burroughs, reissued as part of VDRSVP (San Francisco: Nova Broadcast Press, 1969) on one of three large sheets of newsprint. VDRSVP appeared as The San Francisco Eearthquake, [Vol. 1], No. 5 (1969) [below] and in Kaleidoscope, Vol. 1, No. 16 (417 July 1969) [below].   The Moving Times [No. 1 (1964)] is reprinted here, for the first time in the United States, by courtesy of the author and by courtesy of Jeff Nuttall, who first published it in England in My Own Mag  [No. 5 (May 1964)]",C81
"The Moving Times, [No. 2 (1964)]. {M&M C98}  A magazine edited by Burroughs, appearing as the last two pages of My Own Mag, [No. 7 (July 1964)], below.       38",C82
"The Moving Times, [No. 3] (1964). {M&M C101102}  A magazine edited by Burroughs, appearing as the last two pages of My Own Mag, [No. 9] (1 November 1964), below.       The Moving Times",C83
"My Own Mag, [No. 4 (March 1964)]. {M&M C94}  Cover: Bottom fifth burned away.  Limited to 100 copies.",C84
"My Own Mag, [No. 5 (May 1964)].  C: ... rawing of Burroughs wearing fez.  [Includes The Moving Times, [No. 1 (1964)], above.]",C85
"My Own Mag, [No. 6 (July 1964)].  Three leaves cut into eight squares, stapled onto fourth leaf of five leaves total..   [Includes The Burrough, [No. 1 (1964)], above.]",C86
"My Own Mag, [No. 7 (July 1964)]. {M&M C97}  Cover: hole burned into top quarter.     [Includes The Moving Times, [No. 1 (1964)], above.]",C87
"My Own Mag, [No. 8 (August 1964)].  Cover  [Includes The Burrough, [No. 2 (1964)], above.]",C88
"My Own Mag, [No. 9] (1 November 1964).  Cover--green stain running down entire length and small oblong cut-out in right of lower margin.  First dated issue [although #10 was not].  [Includes The Moving Times, [No. 3] (1964), above.]",C89
"Rhinozeros, No. 9 (1964). {M&M C90}  /  German translation by Anselm Hollo.   remarks on his literary methods, delivered at the 1962 International Writers Conference held in Edinburgh.",C90
"Signals: Newbulletin of Signals, London, Vol. 1, Nos. 3 & 4 (OctoberNovember 1964) {M&M C87}   ..",C91
"Something To Say, No. 4 (27 January 1964).  [Daniel Farson interviews Burroughs and Alexander Trocchi.]   39",C92
"The Times Literary Supplement, No. 3,230 (23 January 1964).  It seems to me that any author / [Letter to the Editor]",C93
"The Times Literary Supplement, No. 3,258 (6 August 1964). {M&M C81}  -",C94
"The Transatlantic Review, No. 15 (Spring 1964). {M&M C72}  .  1 9 6 5",C95
"The Apomorphine Times, [No. 1 (1965)]. {M&M C113}  A magazine edited by Burroughs, appearing as the last two pages of My Own Mag, No. 12 (May 1965), below.   [Letter to Sunday Times.]",C96
"Brown Paper (1965). {M&M C116}  ... sic  you take baloney and cut it yup [sic], you get baloney. This is Gestalt spelled  backwards       The Exterminator, generally putting down the cutup method, which [Daniel] Lauffer sent (sneakily) to William Burroughs as a lost manuscript! Burroughs enjoyed the putdown and promptly produced this cutup of the putdown! Feeling the whole thing was incomplete, he wrote this multidirectional and altogether groovy cutup of November 20, 196",C97
"Bulletin from Nothing, No. 1 ([1965]). {M&M C117}",C98
"Bulletin from Nothing, No. 2 (1965). {M&M C123}      Two-column layout.",C99
"C: A Journal of Poetry, Vol. 1, No. 10 (14 February 1965). {M&M C104}",C100
"Icarus, No. 46 (May 1965). {M&M C125}    TOC title",C101
"Intrepid, No. 5 (March 1965). {M&M C111}    Two-column layout.   40",C102
"Krea, No. 6 (1965). {M&M C130}  ...  Dutch translation by Peter H. Van Lieshout.",C103
"Krea Kritiek, No. 5 (May 1965). {M&M C115}     Reprinted from Valentines Day Reading. [M&M]",C104
"Lines, No. 5 (May 1965). {M&M C114}  apomorphine chabre.  Facsimile of two-column-layout manuscript.    Facsimile of three- and two-column-layout manuscript, including collaged graphic and photographic material. .",C105
"Lines, No. 6 (November 1965). {M&M C128}  :   Facsimile of three-column-layout manuscript, including collaged photographic material.",C106
"The Marijuana Newsletter, No. 1 (30 January 1965). {M&M C103}",C107
"The Marijuana Newsletter, No. 2 (15 March 1965). {M&M C110}",C108
"Mother, No. 5 (Summer 1965). {M&M C120}    Includes three pages of facsimiles of manuscripts.   [by Tom Veitch], consisting of a folded, glued sheet forming a continuous   The Book of Methods [i.e., The Third Mind; see Section A above], Inside back cover.",C109
"The Moving Times, [No. 4 (1965)]. {M&M C105 & C107}  A magazine edited by Burroughs, issued as the last two pages of My Own Mag, No. 11 (February 1965), below.",C110
"The Moving Times, [No. 5 (1965)]. {M&M C109}  -  Issued, folded in eighths, as Sigma Portfolio [No. 1] (1965), below.    ... a variant of the full-",C111
"The Moving Times, [No. 6] (19 October 1965). {M&M C131}  A magazine edited by Burroughs, issued as the last three pages of My Own Mag, No. 14 (December 1965), below.   [Contains quotes by Burroughs in collaged material by Carl Weissner.] 41",C112
"My Own Mag, No. 11 (February 1965). {M&M C106 & C108}  Cover: small, square cut-out in middle of left margin.  First numbered issue.  [Includes: letter to Jeff Nuttall; letters; quotes from newsclippings; and The Moving Times, [No. 4 (1965)], above.]",C113
"My Own Mag, No. 12 (May 1965). {M&M C112}  Cover: three triangular cut-outs, along with attached leaf from Our Own Magazine.  , Found and Transcripted [sic] with Intersection Points Underlined  [Includes The Apomorphine Times, [No. 1 (1965)], above.]",C114
"My Own Mag, No. 13 (August 1965). {M&M C122}  Cover  Limited to 500 numbered copies.    Facsimile of three-column-layout manuscript.",C115
"My Own Mag, No. 14 (December 1965).  Covertop third of left margin.  [Includes The Moving Times, [No. 6] (19 October 1965), above.]",C116
"Now Now [i.e., Now, No. 2] (1965).   Pay   Nova Express Inside back cover.",C117
"Now Now Now, [i.e., Now, No. 3] (1965). {M&M C129}   by Philip Whalen.    Facsimile of three-column-layout manuscript.",C118
"The Paris Review, Vol. 9, No. 35 (Fall 1965). {M&M C127 & E3}  ickerbocker).    Includes facsimiles of two manuscript pages .    Includes facsimile of manuscript page .",C119
"Randstad, No. 9 (1965). {M&M C126}  ëdige Verklaring: Een Getuigenis over een Z  Dutch translation by Lex de Bruijn.",C120
"SF Horizons, No. 2 (Winter 1965). {M&M E4}",C121
"Sigma Portfolio, [No. 1 (1965)].  Entire issue consists of The Moving Times, [No. 5 (1965)], above.   42",C122
"The Spero, Vol. 1, No. 1 (1965). {M&M C124}  Limited to 500 numbered copies.     Designed as a poster in three-column-style newspaper layout, ©1964; folded in three. Some copies have item bound in; others tipped in. Also issued separately in unfolded state, and in later state that lacks copyright statement. [M&M]  1 9 6 6",C123
"Apparatus (December 1966). {M&M E6}    French translation by Jean-Jacques Lebel of th William Burroughs by Corso and Ginsberg in Journal for the Protection of All Beings, No. 1 (1961), above.",C124
"Books and Bookmen, Vol. 12, No. 2 (November 1966). {M&M C156}  -",C125
"East Side Review, Vol. 1, No. 1 (JanuaryFebruary 1966). {M&M C132}  n &",C126
"Esquire, Vol. 65, No. 5, Whole No. 390 (May 1966). {M&M C143}",C127
"Golden Nugget, Vol. 1, No. 6 (August 1966).  -Maker of the 20th",C128
Gorilla (1966). {M&M C142}    From The Ticket That Exploded.,C129
"Grist, No. 10 (1966). {M&M C150}      Repr from Now, No. 3, above. [M&M]",C130
"IT: The International Times, [No. 2] (31 October13 November [1966]). {M&M C155}  Antony BaTowers Open Fire!   in which he p. 8.",C131
"IT: The International Times, No. 3 (1427 November 1966). {M&M C157}",C132
"IT: [The] International Times, No. 5.5 [24 December 1966]. {M&M C160}  Poster on stiff card, designed so that part of card could be cut out and assembled to make a word-machine, . Two eds.: ca. 200 copies, silkscreened silver ink; ca. 1,600 copies, silkscreened gold ink. [M&M]    43",C133
"Intrepid, No. 6 (1966). {M&M C146}",C134
"Jaguar, Vol. 2, No. 1 (January 1966). {M&M E5}   [Burroughs interviewed by  unnamed staff reporter.]  Excerpts from Naked Lunch interspersed throughout.",C135
King (July 1966). {M&M C148},C136
"Klactoveedsedsteen, No. 3 (May 1966). {M&M C144}  Limited to 120 hand-printed and numbered copies; 140 with original serigraph by Vilmos K. Last.",C137
"Klactoveedsedsteen, No. 4 (Fall/Winter [November] 1966). {M&M C151}  Limited to 300 copies.    [p. 51]",C138
"Los Angeles Free Press, Vol. 3, No. 49 (Issue 125) (9 December 1966). {M&M C158}    International TimesNo. 3 (1427 November 1966), above.p. 8.",C139
"Mama, No. 16 (March 1966). {M&M C133}    German translation s Folly.",C140
"The Moving Times, [No. 7 (1966)]  A magazine edited by Burroughs, issued as the last six pages of My Own Mag, No. 15 (April 1966) , below.          was in the corpse finger",C141
"My Own Mag, No. 15 (April 1966).  [Includes The Moving Times, [No. 7 (1966)], above.]",C142
"New Statesman, Vol. 71, No. 1825 (4 March 1966). {M&M C134}",C143
"New Statesman, Vol. 71, No. 1826 (11 March 1966). {M&M C135}   [Letter to the Editor]   44",C144
"Ole, No. 5 [1966?]. {M&M C147}  Title Page:   s Exhibition in Paris of  Cosmographs    ... [M&M]",C145
"[Project Sigma (December 1966)]. {M&M C159}    Reprinted from International Timebs, [No. 3 (1427 November 1966), above].  ... no evidence exists to show distribution except by International Times itself ...  ... produced and distributed by International Times from Burroughs to his Sigma Portfolio",C146
"Residu, No. 2 (Spring 1966). {M&M C141}    SigmaMoving Times, [No. 5 (1965)], which was issued as Sigma Portfolio, [No. 1 (1965)], above.",C147
"Royals World Countdown, No. 2 (March 1966). {M&M C136}    [M&M]",C148
"The Transatlantic Review, No. 21 (Summer 1966).  . 1  TOC title",C149
"Venture, Vol. 3, No. 4 (August 1966) {M&M C149}    An assembled symposium t [M&M]   1 9 6 7",C150
"Argosy, Vol. 28, No. 3 (March 1967). {M&M C163}",C151
"Aspen, Nos. 5 & 6 (Fall/Winter 1967).  Nova Express (1964): (  Appears as Side A of 8ection E, below].",C152
"The City of San Francisco Oracle, Vol. 1, No. 10 (October 1967). {M&M C176}",C153
"Evergreen Club News, No. 2 (July 1967). {M&M C171}  The Ticket That Exploded",C154
"Evergreen Review, Vol. 11, No. 46 (April 1967). {M&M C164}     45",C155
"The Great Society, [No. 1] ([June] 1967). {M&M C168}    A cut-up by Burroughs of a poem by his son. [M&M]",C156
"Harpers Bazaar, No. 3069 (August 1967). {M&M C173}    Title from TOC.  Facsimile of three-column-layout manuscript.   The Third Mind-and-scissors method of  p. 95.",C157
"Harpers Magazine, Vol. 235, No. 1406 (July 1967). {M&M C170}    Cover title",C158
"IT: The International Times, No. 6 (1629 January 1967). {M&M C162}",C159
"[IT: The] International Times, [No. 12] (28 April12 May [1967]).   Coverit Presents a 14-Hour Technicolor Read-  Also includes an interview with Conrad Rooks and a review of his film Chappaqua.  cut me up   Minutes To Go, a cut-up laboratory work put together by William Burroughs, Gregory Corso, Brion Gysin, and Sinclair Beiles some years ago, but still not on worldwide circulation [p. 6]",C160
"[IT:] The International Times, No. 18 (31 August13 September 1967). {M&M C172}",C161
Klacto/23 Special (September 1967). {M&M C174}  Limited to 500 copies.  Includes signed woodcut by Klaus Staeck.      ... published concurrently with an hour-long audio recording [Klacto/23 Tape; see Section E below] of readings by Klacto contributors and others ...,C162
"Last Times, Vol. 1, No. 1 (Fall 1967). {M&M C185}",C163
"London Magazine, New Ser. Vol. 7, No. 9 (December 1967). {M&M C186}",C164
"Mayfair, Vol. 2, No. 10 (October 1967). {M&M C178 & E9}  [Untitled Interview.]   roughs Academy Bulletin 1)    46",C165
"Mayfair, Vol. 2, No. 11 [November 1967]. {M&M C179}    TOC titlee-Recorder, Any Criminal Could B",C166
"Mayfair, Vol. 2, No. 12 [December 1967]. {M&M C180}    TOC title",C167
"Opus International, No. 4 (December 1967). {M&M C181}    French translation by Mary Beach and Claude Pélieu .",C168
"Pianeta Fresco, No. 1 (12 December 1967). {M&M C184}    Italian translation by Giulio Saponaro .",C169
"La Quinzaine Littéraire, No. 40 (115 December 1967). {M&M C182 & 183}  Avenir du R    French translations by Mary Beach and Claude Pélieu",C170
The Rat: Subterranean News (13 December 19672 January 1968).,C171
"The San Francisco Earthquake, Vol. 1, No. 1 (Fall 1967). {M&M C175}",C172
"The Transatlantic Review, No. 25 (Summer 1967). {M&M C167}",C173
"The Village Voice, Vol. 12, No. 38 (6 July 1967). {M&M C169}",C174
"Weekend Telegraph [Color Magazine], No. 132 (14 April 1967). {M&M C165}  A section of The Daily Telegraph, No. 34825.    1 9 6 8",C175
"Ambit, No. 37 (1968). {M&M C199}",C176
"Asylum, No. 3 (January 1968). {M&M C188}  e Poeme M",C177
"Baltimore Free Press, Vol. 1, No. 5 [November 1968?].    Interview reprinted from Rat, Vol. 1, No. 18, below. 47",C178
"Cavalier, Vol. 18, No. 12 (October 1968). {M&M C212}",C179
"Esquire, Vol. 70, No. 2, Whole No. 417 (August 1968).  . You Die.",C180
"Esquire, Vol. 70, No. 5, Whole No. 420 (November 1968). {M&M C214}",C181
"Evergreen Review, Vol. 12, No. 52 (March 1968). {M&M C191}",C182
"Evergreen Review, Vol. 12, No. 60 (November 1968). {M&M C215}",C183
"Georgia Straight, Vol. 2, No. 24 (922 [i.e., 15] August 1968). {M&M C203}",C184
"Georgia Straight, Vol. 2, No. 36 (814 November 1968). {M&M E16}      by Jeff Shero in Rat, Vol. 1, No. 18, below.",C185
"Georgia Straight, Vol. 2, No. 37 (1521 November 1968). {M&M E17}  -    in Rat, Vol. 1, No. 19, below.",C186
"Georgia Straight, Vol. 2, No. 38 (2228 November 1968). {M&M C216}  letin 4  ... reprint from Mayfair [January] 1968 [below] is preceded by a short facsimile TLS cover note from",C187
"Glebe, Vol. 1, No. 2 (1968).  tton-",C188
"London Magazine Stories, [No.] 3 (1968).",C189
"Los Angeles Free Press, Vol. 5, No. 46 (Issue 226) (15-21 November 1968). {M&M E21}   (by Jeff Shero).   Rat, Vol. 1, No. 18, below.",C190
"Love Underground Press, Vol. 1, No. 11 (1 November 1968). {M&M E18}    Rat, Vol. 1, No. 18, below.   48",C191
"Love Underground Press, Vol. 1, No. 12 (15 November 1968). {M&M E19}    Rat, Vol. 1, No. 18, below.",C192
"Mayfair, Vol. 3, No. 1 (January 1968). {M&M C187}    TOC title  Mayfair] a signed affidavit, confirming his conversion. And in his fourth p. 6.",C193
"Mayfair, Vol. 3, No. 2 (February 1968). {M&M C189}",C194
"Mayfair, Vol. 3, No. 3 (March 1968). {M&M C190}   (The Burroughs Academy Bulletin 6)",C195
"Mayfair, Vol. 3, No. 4 [April 1968]. {M&M C193}",C196
"Mayfair, Vol. 3, No. 5 [May 1968]. {M&M C196}  th   TOC title",C197
"Mayfair, Vol. 3, No. 6 [June 1968]. {M&M C198}    TOC titlee Humphre",C198
"Mayfair, Vol. 3, No. 7 (July 1968). {M&M C200}   (The Burroughs Academy Bulletin 10)",C199
"Mayfair, Vol. 3, No. 8 (August 1968). {M&M C201}  11)",C200
"Mayfair, Vol. 3, No. 9 [September 1968]. {M&M C204}    TOC title",C201
"Mayfair, Vol. 3, No. 10 (October 1968). {M&M C211}  ademy Bulletin 13)",C202
"Mayfair, Vol. 3, No. 12 [December 1968]. {M&M C219}  sic   TOC title  49",C203
"New York Free Press, Vol. 1, No. 35 (512 September 1968). {M&M C208}   from Rat, Vol. 1, No. 16, below.]",C204
"Orpheus Magazine, Vol. 1, No. 3 [1968?]. {M&M C192}  Twenty Three  TOC title  City of] San Francisco Oraclep. 4. [Vol. 1, No. 10 (October 1967); see above]",C205
"Planeta Fresco, No. 2/3 (1968). {M&M C195}   Skidoo Elite E  Italian translation by Giulio Saponaro .",C206
"[The] Rat: [Subterranean News], Vol. 1, No. 16 (619 September 1968). {M&M C207}    Dated August 27, 1968.",C207
"[The] Rat: [Subterranean News], Vol. 1, No. 18 (417 October 1968). {M&M E12}  ero, Editor of Rat).  7 Hertz, is based on his recent investigations of  [p. 1]",C208
"[The] Rat: [Subterranean News], Vol. 1, No. 19 (1831 October 1968). {M&M E13}  ero).",C209
"[The] Rat: [Subterranean News], Vol. 1, No. 23 (13 December 19682 January 1969).  {M&M C220 & E23}  cover   ...   rey Shero).",C210
"Renaissance, No. 1 (May-June [1968]). {M&M C166}  Distributed as a supplement to Open City, No. 52 (1-14 May, 1968), above.",C211
"Revista de Bellas Artes, No. 23 (September 1968). {M&M C205 & 206}      Spanish translation by Roberto Baresa",C212
"The San Francisco Earthquake, Vol. 1, No. 2 (Winter 1968). {M&M C217 & C218}",C213
"The San Francisco Earthquake, Vol. 1, No. 4 (Summer/Fall 1968). {M&M C209}  ... (William Burroughs, Editor) ... On t   50",C214
"San Francisco Express Times, Vol. 1, No. 38 (9 October 1968). {M&M E14}    Rat, Vol. 1, No. 18, above.",C215
"San Francisco Express Times, Vol. 1, No. 41 (30 October 1968). {M&M E15}  -  Rat, Vol. 1, No. 19, above.",C216
"The Scimitar, Vol. 1, No. 7 (10 December 1968). {M&M E22}     Rat, Vol. 1, No. 18, above.",C217
"SF, [No.] 12 (1968).",C218
"Spokane Natural, Vol. 2, No. 23 (821 November 1968). {M&M E20}  Anti-Political Revolt ... Ever ...    Rat, Vol. 1, No. 18, above.",C219
"Svêtová Literatura, Vol. 13, No. 4 (1968). {M&M C213}    Czech translation",C220
"Sydsvenska Dagbladet Snällposten, No. 1848 (26 March 1968). {M&M E11}  .]",C221
"Vibra, Fri Norsk Presse, No. 1 (1968). {M&M C197}    Norwegian translation of extract from The Ticket That Exploded.",C222
"The Village Voice, Vol. 13, No. 48 (12 September 1968). {M&M C210}",C223
"Warren-Forest-Sun, Vol. 7, No. 4 (19 April 1968). {M&M C194}    1 9 6 9",C224
"Architectural Design, Vol. 39, No. 6 (June 1969). {M&M C229}   s Building (1888), 24 Peter Street, London, W1  , some virtually unknown, were asked to name one place in England, Scotland, or Wales that has for them a p. 302.",C225
"The Atlantic Monthly, Vol. 223, No. 6 (June 1969). {M&M C228}     51",C226
"Best & Company, [No. 1] (1969). {M&M C246}",C227
"Dock of the Bay, Vol. 1, No. 5 (2 September 1969).    A review of The Mind Parasites by Colin Wilson, reprinted from The Rat, Vol. 2, No. 13, below.",C228
